seed,event,A_test_delta,A_test_from_anchor,A_test_mean_shift,A_test_shift_sd,A_test_actual_relation_change,A_test_common_shift_only,A_test_residual_only,A_test_interaction,B_test_delta,B_test_from_anchor,B_test_mean_shift,B_test_shift_sd,B_test_actual_relation_change,B_test_common_shift_only,B_test_residual_only,B_test_interaction
1,20,-0.005160831409077471,-0.13695684746180237,0.18198621273040771,0.11401678544471318,-0.005160831038906702,0.00845192407006462,-0.013343764573292671,-0.00026899053567865094,-0.011091324106693334,-1.0900280561789821,0.10305476188659668,0.09913264966753153,-0.011091323904885542,0.009129366395726368,-0.020348031428304658,0.0001273411276927483
1,21,0.2878718517617245,0.1509150042999221,0.5782380104064941,0.8309654371411032,0.28786615510098224,0.06706897162358018,0.20318457441719223,0.01761260906020984,-0.034893557808789555,-1.1249216139877718,0.6669382452964783,0.6784086046901603,-0.034902709090569806,0.11031506188326434,-0.16044931893280961,0.015231547958975467
1,22,0.08951186729103144,0.24042687159095355,0.4187173843383789,0.045210708675351124,0.08951122967718966,0.10449891577560494,-0.014553185701607574,-0.00043450039680770214,0.11708678593181554,-1.0078348280559561,0.3927624821662903,0.012981418128169544,0.11708723997945181,0.11726406139290058,-0.0001656359849079303,-1.1185428540838593e-05
1,46,0.19422394764249895,0.3006460234826238,-0.8241420388221741,0.028694225676605522,0.19415968494438318,0.1843264514766847,0.009523805929183893,0.00030942753851459504,0.12041571264653639,-1.1671611764323495,-0.8098005056381226,0.041495850449488815,0.1203599924606405,0.12649453332681931,-0.006515453829483375,0.00038091296330455826
1,47,0.4762278787310086,0.7768739022136324,-1.2222122550010681,0.05479898205774609,0.4765327806713888,0.458612688671169,0.017499854798237013,0.00042023720198280934,0.3708923716232517,-0.7962688048090978,-1.2111035585403442,0.06972457108492196,0.37111600987924465,0.3807928865384522,-0.01011844456767974,0.00044156790847216243
1,48,0.6581535777286103,1.4350274799422427,-1.3782004714012146,0.07865146751072277,0.6583509750163199,0.6362744251933818,0.022170079663295095,-9.352984035704281e-05,0.5458005180803809,-0.2504682867287169,-1.3709003925323486,0.09114933663207936,0.545960846599702,0.5588214273411277,-0.01267017405739912,-0.00019040668402658945
2,20,0.05023037712954409,0.2765115366057638,-0.4803180694580078,0.001522425603268261,0.05023128304893465,0.050594664630926434,-0.0003630499306743751,-3.3165131740897635e-07,0.028053679597528025,-0.01241027067708178,-0.47872859239578247,0.00210784772843636,0.028054600053351086,0.028127332012465645,-7.202052781118962e-05,-7.114313033684816e-07
2,21,0.03179908005788018,0.30831061666364395,-0.16925740242004395,0.004526522636322246,0.03179980118372616,0.03008545726016243,0.0017131357639051936,1.208159658538932e-06,0.022220312859185576,0.009810042182103795,-0.16764241456985474,0.004030261154667939,0.022221014747371537,0.02187565511254641,0.0003444900533132733,8.695815118531236e-07
2,22,-0.052033783901488384,0.25627683276215557,0.2958835959434509,0.009441155044962379,-0.05203413096830062,-0.04857612026098701,-0.0034626050760808713,4.594368767263379e-06,-0.03512717414771144,-0.025317131965607642,0.29420042037963867,0.008271259336673959,-0.03512754703235016,-0.03441767290876874,-0.0007133083133500362,3.434189768614093e-06
2,46,-0.007273236887835377,0.21754806096464357,0.13459008932113647,0.005266436266681597,-0.007273204081169993,-0.0053957848132476505,-0.0018781423597775126,7.23091855170388e-07,-0.0004808039009718823,-0.04493677194330914,0.13464367389678955,0.0060702562121457615,-0.00048076997277823885,0.0004754081387545739,-0.0009567874109746022,6.09299441789446e-07
