seed,event,dose,A_test_delta,B_test_delta
1,20,-1.0,0.035055383477569105,-0.048677127541183696
1,20,-0.5,0.009835180533383933,-0.025788181258436405
1,20,-0.25,0.0012347160450563999,-0.011475117443004779
1,20,0.0,0.0,0.0
1,20,0.25,0.008694684495781244,0.0035079314414744323
1,20,0.5,0.019919096365400665,-8.591341833719124e-05
1,20,1.0,-0.0051607636383920324,-0.01109117860485398
1,21,-1.0,0.02356307571065208,0.06376702612368446
1,21,-0.5,0.050324528337206895,0.03927312506063074
1,21,-0.25,0.035754738871881755,0.020517490637572355
1,21,0.0,0.0,0.0
1,21,0.25,-0.014842356739218701,-0.03823812303801266
1,21,0.5,0.032778470335693324,-0.17667103290476538
1,21,1.0,0.2878717013814292,-0.03489327793603325
1,22,-1.0,-0.29911941266416797,0.014319248054518119
1,22,-0.5,-0.17796685973259768,-0.1671256777528045
1,22,-0.25,0.035639644655045544,-0.04045485710437691
1,22,0.0,0.0,0.0
1,22,0.25,0.014045852498385747,0.028721348195515972
1,22,0.5,0.036201162222737004,0.05742328562922516
1,22,1.0,0.08951184060835554,0.11708717012318037
1,46,-1.0,-0.041991049137699465,0.022851941573069245
1,46,-0.5,-0.039832468153535194,-0.005942212487956011
1,46,-0.25,-0.02473260700623109,-0.007463877531783458
1,46,0.0,0.0,0.0
1,46,0.25,0.03440609883820411,0.016588213400303586
1,46,0.5,0.07839498675240636,0.04229704859783606
1,46,1.0,0.19422399769528065,0.12041573596181765
1,47,-1.0,-0.21670275406190387,-0.1277239848836152
1,47,-0.5,-0.13873091004019972,-0.09221588334244202
1,47,-0.25,-0.0771241622342243,-0.05349528935456083
1,47,0.0,0.0,0.0
1,47,0.25,0.0930748942813131,0.06860298539722787
1,47,0.5,0.20259814824678157,0.15276041198926538
1,47,1.0,0.4762278846651089,0.3708924767845668
1,48,-1.0,-0.4296903986054754,-0.3375983912377807
1,48,-0.5,-0.24056889418896343,-0.19251409892994276
1,48,-0.25,-0.12701262673865032,-0.10237704216694987
1,48,0.0,0.0,0.0
1,48,0.25,0.14134670973115382,0.11523552711340068
1,48,0.5,0.2977911673042406,0.24412077836424118
1,48,1.0,0.6581535549026021,0.5458006185643265
2,20,-1.0,0.004493491812880668,0.025848536454113225
2,20,-0.5,-0.004504544134852351,0.00625662621528722
2,20,-0.25,-0.003965767143321863,0.0014382044214871215
2,20,0.0,0.0,0.0
2,20,0.25,0.00741528942404579,0.001960152690871242
2,20,0.5,0.018279450493626836,0.007312043584520311
2,20,1.0,0.05023033908797109,0.02805389220414406
2,21,-1.0,-0.02556078859089922,-0.016106961748315052
2,21,-0.5,-0.013571426890728933,-0.008831367794147893
2,21,-0.25,-0.0069821864780036935,-0.0046082870766510076
2,21,0.0,0.0,0.0
2,21,0.25,0.007372334529167024,0.004990777047704231
2,21,0.5,0.01513146362590062,0.0103602498397245
2,21,1.0,0.03179888051678942,0.02222074179857142
2,22,-1.0,0.07034838312491043,0.05272386152799241
2,22,-0.5,0.03301412006283777,0.024299008497098762
2,22,-0.25,0.015950673200845478,0.0116162625320409
2,22,0.0,0.0,0.0
2,22,0.25,-0.01480468615126218,-0.01051458939941935
2,22,0.5,-0.02843134509207662,-0.019894515101711974
2,22,1.0,-0.05203349240566407,-0.03512729688810057
2,46,-1.0,0.012075501931956445,0.005015475361256516
2,46,-0.5,0.005425730935387951,0.0019298480235902526
2,46,-0.25,0.002561158873904845,0.000821645501377033
2,46,0.0,0.0,0.0
2,46,0.25,-0.0022610724198663945,-0.0005382778190027859
2,46,0.5,-0.004224904245370753,-0.0007959490604169672
2,46,1.0,-0.007273279940919919,-0.0004809106556469822
2,47,-1.0,0.04477570456088287,0.01721862362231985
